date,equity,month_ret,peak,dd
2002-09-30,981625.9,-0.01837417,981625.9,0.0
2002-10-31,1136676.9,0.15795323,1136676.9,0.0
2002-11-29,1287494.5,0.13268292,1287494.5,0.0
2002-12-31,1168843.0,-0.09215693,1287494.5,-0.09215689
2003-01-31,1202083.1,0.028438427,1287494.5,-0.066339195
2003-02-28,1188795.5,-0.011053775,1287494.5,-0.07665974
2003-03-31,1306038.2,0.09862311,1306038.2,0.0
2003-04-30,1440733.1,0.10313237,1440733.1,0.0
2003-05-30,1717564.5,0.19214614,1717564.5,0.0
2003-06-30,1602051.5,-0.06725394,1717564.5,-0.06725395
2003-07-31,1645841.1,0.027333463,1717564.5,-0.041758776
2003-08-29,1820042.0,0.10584309,1820042.0,0.0
2003-09-30,1653802.0,-0.09133856,1820042.0,-0.091338575
2003-10-31,1748114.1,0.057027467,1820042.0,-0.039519906
2003-11-28,2079046.9,0.18930838,2079046.9,0.0
2003-12-31,2035839.6,-0.02078222,2079046.9,-0.020782232
2004-01-30,1986702.5,-0.024136055,2079046.9,-0.044416666
2004-02-27,1916627.4,-0.03527206,2079046.9,-0.07812208
2004-03-31,1974801.2,0.030352212,2079046.9,-0.050141037
2004-04-30,1650988.8,-0.1639722,2079046.9,-0.20589155
2004-05-28,1685767.8,0.021065544,2079046.9,-0.18916321
2004-06-30,1743247.9,0.03409727,2079046.9,-0.16151583
2004-07-30,1540081.4,-0.11654482,2079046.9,-0.2592368
2004-08-31,1535916.0,-0.00270468,2079046.9,-0.2612403
2004-09-30,1635791.6,0.06502672,2079046.9,-0.21320117
2004-10-29,1707573.1,0.0438818,2079046.9,-0.178675
2004-11-30,2004225.4,0.1737274,2079046.9,-0.03598839
2004-12-31,1992318.1,-0.0059411167,2079046.9,-0.041715622
2005-01-31,2053124.8,0.0305206,2079046.9,-0.012468278
2005-02-28,2190394.8,0.06685904,2190394.8,0.0
2005-03-31,2089745.2,-0.045950413,2190394.8,-0.045950413
2005-04-29,1994073.5,-0.045781553,2190394.8,-0.08962828
2005-05-31,2043395.2,0.024734188,2190394.8,-0.067110956
2005-06-30,2200085.0,0.0766812,2200085.0,0.0
2005-07-29,2333826.8,0.060789347,2333826.8,0.0
2005-08-31,2341304.8,0.003204275,2341304.8,0.0
2005-09-30,2347458.5,0.0026283031,2347458.5,0.0
2005-10-31,2103791.5,-0.10380028,2347458.5,-0.10380036
2005-11-30,2121115.5,0.008234641,2347458.5,-0.09642047
2005-12-30,2166328.2,0.021315552,2347458.5,-0.07716018
2006-01-31,2621685.0,0.21019748,2621685.0,0.0
2006-02-28,2509302.2,-0.042866625,2621685.0,-0.042866588
2006-03-31,2918098.5,0.16291232,2918098.5,0.0
2006-04-28,2790028.2,-0.043888275,2918098.5,-0.04388827
2006-05-31,2613987.2,-0.06309649,2918098.5,-0.10421556
2006-06-30,2770227.0,0.05977067,2918098.5,-0.050673902
2006-07-31,2621869.2,-0.053554334,2918098.5,-0.10151446
2006-08-31,2569672.0,-0.019908369,2918098.5,-0.11940187
2006-09-29,2694131.8,0.048434153,2918098.5,-0.076750934
2006-10-31,2818414.2,0.04613082,2918098.5,-0.034160674
2006-11-30,2753318.8,-0.02309653,2918098.5,-0.05646819
2006-12-29,2687856.8,-0.023775637,2918098.5,-0.07890129
2007-01-31,2706061.5,0.0067730057,2918098.5,-0.07266271
2007-02-28,2664921.2,-0.015203023,2918098.5,-0.08676106
2007-03-30,2906733.5,0.090738975,2918098.5,-0.0038946867
2007-04-30,3033710.2,0.043683648,3033710.2,0.0
2007-05-31,3256766.2,0.07352578,3256766.2,0.0
2007-06-29,3202573.8,-0.016639926,3256766.2,-0.016639948
2007-07-31,3239510.2,0.011533359,3256766.2,-0.0052984953
2007-08-31,3307147.2,0.020878792,3307147.2,0.0
2007-09-28,3670405.2,0.10984025,3670405.2,0.0
